F,Z11,Theta11,Z12,Theta12,Z13,Theta13,,Z21,Theta21,Z22,Theta22,Z23,Theta23,,Z31,Theta31,Z32,Theta32,Z33,Theta33,,Z41,Theta41,Z42,Theta42,Z43,Theta43,,Z51,Theta51,Z52,Theta52,Z53,Theta53,,Z61,Theta61,Z62,Theta62,Z63,Theta63,,Z71,Theta71,Z72,Theta72,Z73,Theta73,,Z81,Theta81,Z82,Theta82,Z83,Theta83,,Z91,Theta91,Z92,Theta92,Z93,Theta93
1584893,8518,-87.71,9397,-88.36,8896,-88.15,,8680,-87.94,9020,-88.34,8582,-87.97,,8673,-88.09,8507,-87.98,9024,-88.38,,8700,-88.17,8826,-88.35,8442,-87.86,,9742,-89.16,8518,-88.13,8655,-88.21,,8070,-87.4,8545,-88.1,8153,-87.45,,8376,-87.86,7975,-87.23,8241,-87.61,,8324,-87.65,8117,-87.37,8229,-87.49,,8096,-87.55,8247,-87.82,8254,-87.66
1778279,7640,-87.73,8423,-88.38,7975,-88.16,,7782,-87.97,8085,-88.35,7695,-87.99,,7776,-88.1,7627,-88,8087,-88.4,,7798,-88.17,7910,-88.36,7570,-87.88,,8723,-89.17,7636,-88.15,7758,-88.23,,7239,-87.44,7660,-88.12,7313,-87.5,,7510,-87.9,7156,-87.25,7392,-87.63,,7465,-87.68,7282,-87.4,7381,-87.52,,7262,-87.58,7395,-87.84,7402,-87.69
1995262,6855,-87.73,7555,-88.39,7153,-88.16,,6982,-87.98,7251,-88.36,6903,-88,,6975,-88.11,6844,-88.01,7252,-88.4,,6995,-88.15,7095,-88.36,6793,-87.89,,7817,-89.17,6851,-88.15,6961,-88.23,,6501,-87.46,6872,-88.12,6567,-87.52,,6740,-87.91,6426,-87.26,6636,-87.64,,6703,-87.69,6539,-87.41,6626,-87.54,,6519,-87.61,6637,-87.85,6646,-87.71
2238721,6161,-87.75,6786,-88.4,6426,-88.17,,6272,-88,6513,-88.37,6203,-88.01,,6267,-88.12,6148,-88.02,6514,-88.41,,6284,-88.15,6372,-88.37,6103,-87.91,,7015,-89.18,6154,-88.16,6253,-88.24,,5843,-87.49,6173,-88.14,5903,-87.54,,6056,-87.93,5778,-87.28,5964,-87.66,,6023,-87.72,5879,-87.43,5957,-87.55,,5859,-87.64,5964,-87.87,5972,-87.74
2511886,5544,-87.77,6103,-88.43,5780,-88.19,,5643,-88.02,5858,-88.39,5581,-88.02,,5638,-88.14,5532,-88.04,5859,-88.43,,5652,-88.15,5731,-88.39,5491,-87.93,,6304,-89.2,5536,-88.18,5624,-88.26,,5260,-87.52,5553,-88.16,5314,-87.58,,5449,-87.95,5203,-87.3,5368,-87.69,,5421,-87.74,5293,-87.45,5361,-87.58,,5274,-87.67,5367,-87.9,5375,-87.76
2818382,4999,-87.78,5500,-88.45,5209,-88.22,,5086,-88.04,5278,-88.41,5030,-88.03,,5081,-88.16,4986,-88.05,5278,-88.44,,5094,-88.15,5164,-88.39,4950,-87.95,,5675,-89.22,4989,-88.22,5068,-88.28,,4744,-87.55,5005,-88.18,4792,-87.61,,4911,-87.98,4694,-87.32,4841,-87.71,,4888,-87.77,4774,-87.47,4835,-87.6,,4755,-87.69,4838,-87.93,4846,-87.8
3162277,4517,-87.8,4968,-88.48,4706,-88.23,,4595,-88.06,4767,-88.43,4544,-88.06,,4590,-88.18,4505,-88.07,4767,-88.46,,4602,-88.16,4664,-88.41,4473,-87.97,,5121,-89.25,4507,-88.24,4578,-88.3,,4288,-87.58,4522,-88.22,4332,-87.65,,4438,-88,4245,-87.34,4375,-87.73,,4418,-87.8,4316,-87.49,4371,-87.63,,4298,-87.72,4372,-87.95,4380,-87.83
3548133,4095,-87.82,4501,-88.51,4265,-88.26,,4164,-88.09,4319,-88.46,4118,-88.08,,4159,-88.22,4082,-88.1,4318,-88.49,,4169,-88.17,4225,-88.44,4053,-88,,4635,-89.29,4083,-88.27,4148,-88.33,,3888,-87.62,4096,-88.26,3927,-87.68,,4022,-88.04,3850,-87.37,3966,-87.76,,4005,-87.83,3914,-87.52,3962,-87.66,,3896,-87.76,3962,-87.99,3970,-87.88
3981071,3723,-87.87,4090,-88.57,3877,-88.3,,3785,-88.14,3925,-88.51,3744,-88.12,,3781,-88.27,3712,-88.14,3924,-88.56,,3791,-88.18,3841,-88.47,3686,-88.04,,4209,-89.33,3713,-88.3,3771,-88.36,,3538,-87.66,3725,-88.29,3573,-87.73,,3657,-88.07,3504,-87.39,3608,-87.79,,3643,-87.87,3561,-87.55,3605,-87.7,,3544,-87.8,3604,-88.02,3611,-87.91
4466835,3404,-87.89,3737,-88.6,3543,-88.32,,3460,-88.16,3586,-88.54,3422,-88.13,,3455,-88.29,3392,-88.17,3585,-88.57,,3465,-88.23,3509,-88.51,3369,-88.08,,3843,-89.38,3393,-88.34,3446,-88.4,,3235,-87.7,3404,-88.34,3267,-87.78,,3343,-88.11,3205,-87.43,3299,-87.82,,3330,-87.91,3257,-87.58,3297,-87.73,,3240,-87.85,3294,-88.07,3302,-87.96
