,Red,Green,Blue,W1,Pot1,W2,Pot2,W3,Pot3,Fruit
14,128.0,69.0,57.0,89.0,279.0,188.0,279.0,82.0,279.0,4.0
15,133.0,67.0,54.0,72.5,287.0,166.0,287.0,108.5,287.0,4.0
16,127.0,69.0,57.0,127.0,272.0,150.5,272.0,99.0,272.0,4.0
17,111.0,76.0,63.0,314.5,156.0,211.0,156.0,47.0,156.0,4.0
18,130.0,68.0,57.0,97.0,249.5,188.0,249.5,96.5,249.5,4.0
19,113.0,76.0,63.0,222.5,252.0,252.0,252.0,72.0,252.0,4.0
20,110.0,74.0,62.0,350.0,254.0,240.0,254.0,117.5,254.0,4.0
21,123.0,71.0,59.0,374.0,216.0,229.5,216.0,184.5,216.0,4.0
22,115.0,75.0,61.0,442.5,249.0,50.0,249.0,118.5,249.0,4.0
23,117.0,74.0,61.0,351.5,251.0,135.5,251.0,136.5,251.0,4.0
24,112.0,76.0,63.0,255.5,198.0,210.0,198.0,38.5,198.0,4.0
25,110.0,78.0,62.0,325.5,154.0,182.0,154.0,149.5,154.0,4.0
26,111.0,76.0,63.0,326.5,205.0,232.0,205.0,43.5,205.0,4.0
27,118.0,73.0,60.0,342.0,152.0,130.5,152.0,190.0,152.0,4.0
28,113.0,75.0,63.0,238.5,194.5,237.5,194.5,33.5,194.5,4.0
29,112.0,73.0,62.0,344.0,251.0,113.0,251.0,193.5,251.0,4.0
30,130.0,68.0,56.0,115.0,294.0,148.5,294.0,85.0,294.0,4.0
31,129.0,68.0,57.0,155.0,228.5,134.5,228.5,86.0,228.5,4.0
32,113.0,77.0,61.0,307.5,210.5,206.5,210.5,191.5,210.5,4.0
33,120.0,73.0,60.0,302.5,215.0,157.0,215.0,224.5,215.0,4.0
34,116.0,75.0,61.0,395.0,251.0,46.5,251.0,254.0,251.0,4.0
35,111.0,76.0,63.0,304.0,250.5,217.5,250.5,48.5,250.5,4.0
36,118.0,73.0,60.0,375.0,207.5,201.0,207.5,133.5,207.5,4.0
37,113.0,77.0,61.0,352.0,216.5,230.0,216.5,175.0,216.5,4.0
38,116.0,74.0,62.0,398.5,217.0,186.5,217.0,116.5,217.0,4.0
39,129.0,69.0,56.0,92.0,287.0,195.0,287.0,64.5,287.0,4.0
40,111.0,76.0,63.0,271.0,243.0,217.5,243.0,51.5,243.0,4.0
41,110.0,77.0,64.0,278.5,261.0,225.5,261.0,46.5,261.0,4.0
42,112.0,73.0,61.0,392.5,252.0,112.5,252.0,159.5,252.0,4.0
43,132.0,67.0,55.0,73.5,169.0,176.5,169.0,99.0,169.0,4.0
44,113.0,77.0,61.0,308.5,214.0,203.0,214.0,203.5,214.0,4.0
45,115.5,76.0,60.0,291.0,170.0,224.5,170.0,158.5,170.0,4.0
46,111.0,74.0,62.0,363.0,224.5,219.5,224.5,143.0,224.5,4.0
47,121.0,72.0,59.0,379.0,215.5,188.0,215.5,168.5,215.5,4.0
48,130.0,68.0,56.0,113.5,295.0,162.0,295.0,105.0,295.0,4.0
49,111.0,76.0,63.0,311.5,259.0,219.5,259.0,15.0,259.0,4.0
50,131.5,67.5,55.0,74.0,169.0,192.0,169.0,84.0,169.0,4.0
51,111.0,76.0,63.0,297.5,257.5,203.0,257.5,44.0,257.5,4.0
52,112.0,73.0,61.0,401.5,252.0,202.0,252.0,261.0,252.0,4.0
53,116.0,74.0,61.0,309.0,188.0,238.5,188.0,144.5,188.0,4.0
54,122.0,71.0,59.0,377.5,216.5,208.0,216.5,188.0,216.5,4.0
55,123.0,71.0,59.0,123.5,171.0,114.0,171.0,58.5,171.0,4.0
56,113.0,76.0,63.0,275.5,259.0,268.0,259.0,16.5,259.0,4.0
57,131.0,68.0,55.0,88.0,287.0,204.5,287.0,64.5,287.0,4.0
58,112.0,73.0,62.0,353.0,203.5,113.5,203.5,187.0,203.5,4.0
59,113.0,77.0,61.0,328.5,214.5,184.5,214.5,193.5,214.5,4.0
60,113.0,75.0,63.0,251.0,261.5,237.5,261.5,42.0,261.5,4.0
61,133.0,67.0,54.0,86.0,258.0,153.5,258.0,94.0,258.0,4.0
62,122.0,72.0,59.0,392.0,216.0,209.5,216.0,157.5,216.0,4.0
63,112.0,73.0,62.0,350.5,253.0,111.0,253.0,187.0,253.0,4.0
64,120.0,72.0,60.0,325.0,225.0,231.5,225.0,104.5,225.0,4.0
65,118.0,73.0,60.0,351.5,227.5,134.0,227.5,103.0,227.5,4.0
66,113.0,75.0,63.0,222.0,259.0,207.5,259.0,50.0,259.0,4.0
67,117.0,74.0,60.0,291.5,199.5,135.5,199.5,115.0,199.5,4.0
68,109.0,77.0,64.0,298.0,203.0,199.5,203.0,25.0,203.0,4.0
69,130.0,68.0,55.0,117.0,288.0,116.0,288.0,107.5,288.0,4.0
70,113.0,77.0,61.0,305.0,211.5,190.5,211.5,196.5,211.5,4.0
71,113.0,77.0,61.0,308.0,211.5,228.0,211.5,164.0,211.5,4.0
72,122.0,71.5,59.0,394.5,216.5,213.0,216.5,153.0,216.5,4.0
73,117.0,74.0,61.0,394.0,253.0,275.5,253.0,298.0,253.0,4.0
74,105.0,76.0,64.0,464.5,253.0,64.5,253.0,68.5,253.0,4.0
